WT0;WT1;WT2;WT3;WT4;WT5;WT6;WT7;MT0;MT1;MT2;MT3;MT4;MT5;MT6;MT7;BLANK
1.2698546806353497;1.2697532950321055;1.1985806015545792;1.24602906387293;1.280398783372761;1.325819533626225;1.3142615748563704;1.1902669820885432;1.2330517066576545;1.2136870564379858;1.2108482595471441;1.2344711051030752;1.267218654950997;1.2314295370057449;1.2378168300101386;1.2290976681311252;1.195234876647516
1.2781418918918919;1.270439189189189;1.202533783783784;1.2432770270270268;1.2790540540540543;1.3238513513513512;1.3116891891891893;1.1880405405405403;1.233344594594595;1.2126689189189188;1.2085135135135134;1.233445945945946;1.266587837837838;1.2298986486486487;1.236283783783784;1.2300000000000002;1.1938175675675675
1.2884039583861966;1.275412331895458;1.2042628774422737;1.246079675209338;1.2819081451408272;1.3247399137274805;1.3114437959908654;1.189444303476275;1.2370464349149966;1.2148185739659985;1.2099467140319715;1.2340015224562295;1.2665820857650343;1.2298401420959149;1.238162902816544;1.2273027150469424;1.1942146663283433
1.2919878296146046;1.2756592292089248;1.2038539553752536;1.2446247464503042;1.2864097363083165;1.323022312373225;1.311764705882353;1.1913793103448276;1.235496957403651;1.2129817444219066;1.2081135902636917;1.2329614604462475;1.2656186612576064;1.2297160243407705;1.237423935091278;1.2273833671399594;1.1930020283975658
1.2998899144720126;1.2785502582775847;1.2087390972986705;1.2466423913963922;1.2972478618003216;1.32437971039038;1.3173681090693536;1.1911592852908797;1.2373952070454737;1.2157506986196964;1.2123973240748582;1.2375984418663728;1.2678804301803708;1.2306884579557964;1.2405453467694132;1.2284528749259038;1.198780591074604
1.3328702134869537;1.276448661470688;1.2080311758725855;1.2445272788885122;1.2839715350728567;1.3265672653337852;1.3130464249406981;1.1913588614029142;1.2373093866485938;1.2156557099288376;1.2114876313114198;1.2381226702812607;1.2678075228736023;1.229481531684175;1.2398508980006777;1.2293798712300916;1.1957302609284988
1.3101429659081296;1.2755266051941458;1.2043651129346078;1.2434481008374927;1.2805008036545134;1.3224261906776076;1.3147111073513238;1.1898485745706793;1.2336012181710514;1.214211995601049;1.2095423399035614;1.2325860756281195;1.2668978935792234;1.2283224769478047;1.2392860164114714;1.2282209626935114;1.1954318585568056
1.2996954314720812;1.2764467005076143;1.2050761421319798;1.2447715736040608;1.2788832487309645;1.322944162436548;1.3125888324873094;1.1906598984771575;1.230253807106599;1.212284263959391;1.2089340101522845;1.23248730964467;1.2657868020304568;1.2283248730964467;1.2368527918781727;1.2278172588832488;1.1954314720812182
1.3106346919752563;1.2751461740530465;1.2076264723328531;1.2449453436149478;1.278501821879502;1.3245657147699348;1.3148038301838827;1.1898313702228624;1.2328446741801542;1.2148461994746211;1.211388865350394;1.2347767138378105;1.2682315058045928;1.2307092619269555;1.2381323616642659;1.2288789085670706;1.1968477247690874
1.3037991858887379;1.2746947082767977;1.208955223880597;1.2454884667571233;1.2791723202170961;1.3243554952510175;1.3119402985074624;1.18972184531886;1.2308344640434192;1.2128222523744911;1.212618724559023;1.2342944369063773;1.2676729986431479;1.2299185888738124;1.2365332428765266;1.229002713704206;1.1939959294436906
